3.6373    620240
2.1000    2922232
7.2746    25064
4.6957    703936
0.0000    2109040
6.6408    136728
2.9698    1997064
5.9397    117096
6.3000    172224
5.1439    476016
6.9649    99520
9.8499    5608
9.6234    17072
4.2000    278424
7.5717    59104
7.8575    27392
7.8575    54752
6.3000    49216
8.9095    24208
8.6585    39840
9.1537    12112
9.3915    11336
8.4000    6104
12.0636    1248
10.5000    4264
10.9119    3136
16.9307    72
12.4238    960
13.4466    1032
10.2879    4008
10.7079    8904
11.5022    2768
11.8794    576
14.8492    336
14.0872    240
12.2450    1512
12.9453    408
13.7706    240
11.3088    3768
12.7738    264
13.2816    264
12.9453    240
14.0872    216
15.2882    48
12.0636    184
12.6000    360
12.6000    24
13.6096    96
14.7000    96
14.7000    48
14.2429    144
15.4318    96
14.9970    48
13.9298    24
15.7150    24
16.1304    24
