spacing: 0.25
Diffusion (D) = 2.1119e-05 +/- 5.19e-08 cm²/s    Exponent  (ν) = 1.03 +/- 4.52e-04 

spacing: 0.26
Diffusion (D) = 2.3213e-05 +/- 5.75e-08 cm²/s    Exponent  (ν) = 1.02 +/- 5.33e-04 

spacing: 0.27
Diffusion (D) = 2.6225e-05 +/- 4.96e-08 cm²/s    Exponent  (ν) = 0.99 +/- 4.22e-04 

