3.8184    1017320
0.0000    1290248
2.7000    1586760
5.4000    119432
4.6765    305552
6.0374    288024
6.6136    122784
7.6368    37096
8.9549    23592
8.1000    64040
6.6136    60136
8.5381    33072
9.7350    11632
10.1025    16248
13.7674    744
12.3730    1760
10.8000    1176
11.1324    5968
9.3531    5432
13.5000    408
11.4551    3976
11.7690    1664
15.9734    72
12.0748    1048
14.5399    504
12.6641    568
15.2735    24
16.6439    24
13.2272    288
13.2272    144
14.0296    168
15.5103    48
15.7436    24
14.7885    24
